Australia,Austria,Belgium,Canada,Denmark,Finland,France,Germany,Italy,Japan,Netherlands,New Zealand,Norway,Spain,Sweden,Switzerland,UK,USA
NA,NA,NA,NA,NA,NA,18,1932,NA,NA,NA,NA,13,NA,NA,NA,NA,2407
NA,NA,NA,152,NA,NA,22,1857,NA,NA,NA,NA,16,NA,NA,NA,NA,2038
24,NA,NA,367,16,32,34,1891,NA,NA,NA,NA,16,6,NA,NA,NA,NA
30,67,NA,575,29,13,66,1828,NA,NA,NA,NA,17,19,NA,NA,NA,NA
27,66,NA,450,40,21,59,2455,174,NA,NA,NA,33,55,NA,NA,NA,NA
34,106,NA,550,63,24,108,3195,409,NA,133,22,36,138,111,NA,NA,NA
22,129,NA,476,80,28,154,3930,NA,NA,157,15,61,335,134,NA,NA,664
46,168,NA,453,71,55,174,3979,312,NA,175,21,56,419,140,NA,NA,494
52,319,NA,468,55,30,244,4050,908,NA,172,4,79,390,158,NA,NA,572
36,378,NA,598,60,28,273,3301,727,NA,119,8,102,664,146,NA,NA,757
68,406,NA,643,44,44,282,2400,595,NA,123,5,73,539,137,NA,NA,936
84,258,NA,441,42,43,366,1616,583,170,88,8,57,525,301,NA,NA,966
53,183,NA,581,42,40,300,1520,734,97,92,3,66,482,188,NA,NA,588
41,154,135,511,65,53,292,1483,959,134,115,10,78,435,166,NA,NA,871
70,155,123,454,66,39,282,1363,949,104,113,10,75,285,247,NA,NA,876
47,111,118,425,62,22,269,1354,1296,112,111,2,64,316,215,153,NA,1252
62,135,103,355,44,38,238,1435,988,120,127,17,88,346,240,140,NA,1073
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1077
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1041
NA,NA,NA,NA,NA,NA,0,5,NA,NA,NA,NA,0,NA,NA,NA,NA,965
NA,NA,NA,42,NA,NA,0,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
0,NA,NA,26,1,0,0,6,NA,NA,NA,NA,0,0,NA,NA,NA,NA
9,2,NA,19,1,0,0,6,NA,NA,NA,NA,2,0,NA,NA,NA,NA
3,5,NA,34,0,1,0,2,0,NA,NA,NA,0,2,NA,NA,NA,NA
3,2,NA,26,0,0,1,0,7,NA,3,NA,0,3,0,NA,NA,48
6,8,NA,23,0,0,1,0,NA,NA,1,3,0,1,0,NA,NA,47
3,2,NA,33,0,0,1,11,4,NA,1,1,1,2,0,NA,NA,59
3,5,NA,15,0,0,1,3,0,NA,1,1,1,1,0,NA,NA,62
1,2,NA,26,0,0,1,11,8,NA,2,NA,1,9,0,NA,NA,75
